,name,books,world,groups,universe
416,Demoux,"Mistborn Era 1,The Stormlight Archive",Scadrial,"Kelsier's crew,Venture army,Seventeenth Shard",Cosmere
417,Den,The Stormlight Archive,Roshar,NA,Cosmere
418,Denise Carlson,Defending Elysium,Earth (Skyward),Phone Company,Cytoverse
419,Dennison Crestmar,Firstborn,,NA,Independent
420,Denshil,The Stormlight Archive,Roshar,NA,Cosmere
421,Dent,Mistborn Era 2,Scadrial,NA,Cosmere
422,Denth,Warbreaker,Nalthis,"Five Scholars,Denth's crew",Cosmere
423,Deral,White Sand,Taldain,NA,Cosmere
424,Dereth,Elantris,Sel,NA,Cosmere
425,Derethil,The Stormlight Archive,Roshar,NA,Cosmere
426,Design,The Stormlight Archive,Roshar,NA,Cosmere
427,Destra,Mistborn Era 2,Scadrial,NA,Cosmere
428,Detor,Mistborn Era 1,Scadrial,NA,Cosmere
429,Devi,The Stormlight Archive,Roshar,NA,Cosmere
430,Devin,The Reckoners,Earth (Reckoners),Reckoners,Independent
431,Devinshae,Mistborn Era 1,Scadrial,NA,Cosmere
432,Devlin Airs,Mistborn Era 2,Scadrial,NA,Cosmere
433,Devmrh,The Stormlight Archive,Roshar,NA,Cosmere
434,Dia Vmeer,Skyward (series),Detritus,NA,Cytoverse
435,Dialas,The Reckoners,Earth (Reckoners),NA,Independent
436,Dialectur,The Stormlight Archive,Roshar,NA,Cosmere
437,Diamond,The Reckoners,Earth (Reckoners),NA,Independent
438,Dianil,The Stormlight Archive,Roshar,NA,Cosmere
439,Diaz,Snapshot,Earth (Snapshot),NA,Independent
440,Didrich Calloway,The Rithmatist,Earth (Rithmatist),NA,Independent
441,Dieno,The Stormlight Archive,Roshar,NA,Cosmere
442,Digzone,The Reckoners,Earth (Reckoners),NA,Independent
443,Dilaf,Elantris,Sel,NA,Cosmere
444,Dilid,The Stormlight Archive,Roshar,NA,Cosmere
445,Dilisteni,Mistborn Era 1,Scadrial,NA,Cosmere
446,Dims,Mistborn Era 2,Scadrial,NA,Cosmere
447,Dink,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
448,Dio,Elantris,Sel,NA,Cosmere
449,Diolen,Elantris,Sel,NA,Cosmere
450,Dion,Elantris,Sel,NA,Cosmere
451,Dion Maheras,Legion: Skin Deep,Earth (Legion),NA,Independent
452,Diren,Elantris,Sel,NA,Cosmere
453,Dirin,White Sand,Taldain,Diem,Cosmere
454,Disten,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
455,Dlavil,Mistborn Era 2,Scadrial,Ghostbloods,Cosmere
456,Dllllizzzz,Skyward (series),,NA,Cytoverse
457,Dob,Shadows for Silence,Threnody,NA,Cosmere
458,Dobsi,Skyward (series),Detritus,DDF,Cytoverse
459,Doc Slush,The Reckoners,Earth (Reckoners),Reckoners,Independent
460,Dockson,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
461,Dod,The Stormlight Archive,Roshar,NA,Cosmere
462,Dodger,Skyward (series),Detritus,NA,Cytoverse
463,Dok,The Stormlight Archive,Roshar,NA,Cosmere
464,Dolimid,The Stormlight Archive,Roshar,NA,Cosmere
465,Donal,Mistborn Era 2,Scadrial,NA,Cosmere
466,Donny,Mistborn Era 2,Scadrial,Nightstreet Gang,Cosmere
467,Donton,Mistborn Era 2,Scadrial,NA,Cosmere
468,Doomslug,Skyward (series),Detritus,NA,Cytoverse
469,Dor (character),The Stormlight Archive,Roshar,NA,Cosmere
470,Doran,Defending Elysium,Earth (Skyward),Phone Company,Cytoverse
471,Dorgo,Skyward (series),Detritus,NA,Cytoverse
472,Dorise Chevalle,Mistborn Era 2,Scadrial,NA,Cosmere
473,Dorolin,The Stormlight Archive,Roshar,NA,Cosmere
474,Dothgen,Elantris,Sel,NA,Cosmere
475,Douglas,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
476,Douglas Venture,Mistborn Era 2,Scadrial,NA,Cosmere
477,Dovcanti,The Stormlight Archive,Roshar,NA,Cosmere
478,Dowser Maline,Shadows of Self,Scadrial,NA,Cosmere
479,Dr. Marcus,Dark One,Earth (Dark One),NA,Independent
480,Dragdown,The Reckoners,Earth (Reckoners),NA,Independent
481,Drama,Skyward (series),Detritus,NA,Cytoverse
482,Drape,Skyward (series),Detritus,NA,Cytoverse
483,Drapen,Mistborn Era 2,Scadrial,NA,Cosmere
484,Draulin,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
485,Drawers,Mistborn Era 2,Scadrial,NA,Cosmere
486,Dreamer (character),Dreamer,Earth (Dreamer),NA,Independent
487,Dreaming-though-Awake,The Stormlight Archive,Roshar,NA,Cosmere
488,Dreder,The Stormlight Archive,Roshar,NA,Cosmere
489,Drehy,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
490,Drenya,Mistborn Era 2,Scadrial,NA,Cosmere
491,Drewton,Mistborn Era 2,Scadrial,NA,Cosmere
492,Dridel,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
493,Drile,White Sand,Taldain,Diem,Cosmere
494,Drim,Mistborn Era 2,Scadrial,NA,Cosmere
495,Drlwan,The Stormlight Archive,Roshar,NA,Cosmere
496,Droz,The Stormlight Archive,Roshar,NA,Cosmere
497,Dru,The Stormlight Archive,Roshar,NA,Cosmere
498,Druffel,Mistborn Era 1,Scadrial,NA,Cosmere
499,Drummer brothers,The Stormlight Archive,Roshar,NA,Cosmere
500,Duane,Skyward (series),Detritus,DDF,Cytoverse
501,Dug,Mistborn Era 2,Scadrial,NA,Cosmere
502,Dukaler,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
503,Dukar,The Stormlight Archive,Roshar,Diagram,Cosmere
504,Dul,The Stormlight Archive,Roshar,NA,Cosmere
505,Dumad,Mistborn Era 2,Scadrial,Set,Cosmere
506,Dunny,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
507,Dupon Melstrom,Mistborn Era 2,Scadrial,NA,Cosmere
508,Durk,The Stormlight Archive,Roshar,Amaram's army,Cosmere
509,Durkel,Mistborn Era 2,Scadrial,NA,Cosmere
510,Durn,Mistborn Era 1,Scadrial,NA,Cosmere
511,Durnash,The Stormlight Archive,Roshar,NA,Cosmere
512,Durton,Mistborn Era 1,Scadrial,NA,Cosmere
513,Duskwatch,Steelheart,Earth (Reckoners),NA,Independent
514,Dylan,Legion,Earth (Legion),Aspect,Independent
515,Dym,The Stormlight Archive,Roshar,Dalinar's elites,Cosmere
516,Dynamo,The Reckoners,Earth (Reckoners),NA,Independent
517,Earless,The Reckoners,Earth (Reckoners),NA,Independent
518,Edan,Elantris,Sel,NA,Cosmere
519,Eddie Macano,Steelheart,Earth (Reckoners),NA,Independent
520,Edgard Ladrian,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
521,Edgli,Warbreaker,Nalthis,NA,Cosmere
522,Edip,Mistborn Era 2,Scadrial,NA,Cosmere
523,Edmund (Cytonic),Defending Elysium,,NA,Cytoverse
524,Edmund Sense,The Reckoners,Earth (Reckoners),NA,Independent
525,Edso,Firefight,Earth (Reckoners),NA,Independent
526,Edwarn Ladrian,Mistborn Era 2,Scadrial,Set,Cosmere
527,Ehelan,Elantris,Sel,NA,Cosmere
528,Ehen,Elantris,Sel,NA,Cosmere
529,Ekel,The Stormlight Archive,Roshar,NA,Cosmere
530,El,The Stormlight Archive,Roshar,NA,Cosmere
531,El Brass Bullish Dude,The Reckoners,Earth (Reckoners),NA,Independent
532,Elao,Elantris,Sel,NA,Cosmere
533,Elashe,Elantris,Sel,NA,Cosmere
534,Eldon,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
535,Electrodyne,The Reckoners,Earth (Reckoners),NA,Independent
536,Elend Venture,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
537,Elend's mother,Mistborn Era 1,Scadrial,NA,Cosmere
538,Eleseth,The Stormlight Archive,Roshar,NA,Cosmere
539,Elhokar Kholin,The Stormlight Archive,Roshar,NA,Cosmere
540,Elit Ruthar,The Stormlight Archive,Roshar,NA,Cosmere
541,Eliza Marin,Mistborn Era 2,Scadrial,NA,Cosmere
542,Elizabeth Warner,The Rithmatist,Earth (Rithmatist),NA,Independent
543,Elizandra Dramali,Mistborn Era 2,Scadrial,NA,Cosmere
544,Ellista,The Stormlight Archive,Roshar,NA,Cosmere
545,Elorin,White Sand,Taldain,Diem,Cosmere
546,Elors Durnsed,Mistborn Era 2,Scadrial,NA,Cosmere
547,Elrao,Mistborn Era 1,Sel,Ire,Cosmere
548,Elthebar,The Stormlight Archive,Roshar,NA,Cosmere
549,Embrier,Mistborn Era 2,Scadrial,Set,Cosmere
550,Mrs. Emuishere,The Rithmatist,Earth (Rithmatist),NA,Independent
551,En,The Stormlight Archive,Roshar,NA,Cosmere
552,Enelan,Elantris,Sel,NA,Cosmere
553,Enrique Estevez,Snapshot,Earth (Snapshot),NA,Independent
554,Eoden,Elantris,Sel,NA,Cosmere
555,Eoldess,Elantris,Sel,NA,Cosmere
556,Eondel,Elantris,Sel,NA,Cosmere
557,Eonic,Elantris,Sel,NA,Cosmere
558,Epinar,The Stormlight Archive,Roshar,NA,Cosmere
559,Eranniv,The Stormlight Archive,Roshar,NA,Cosmere
560,Eriola,Mistborn Era 2,Scadrial,NA,Cosmere
561,Eshava,The Stormlight Archive,Roshar,NA,Cosmere
562,Eshen,Elantris,Sel,NA,Cosmere
563,Eshonai,The Stormlight Archive,Roshar,Council of Five,Cosmere
564,Eshu,The Stormlight Archive,Roshar,NA,Cosmere
565,Essu,The Stormlight Archive,Roshar,NA,Cosmere
566,Estnatil,The Stormlight Archive,Roshar,NA,Cosmere
567,Eth,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army,Kholin army",Cosmere
568,Ethid,The Stormlight Archive,Roshar,"Veristitalian,[1]",Cosmere
569,Eton,Elantris,Sel,NA,Cosmere
570,Eusto,Sixth of the Dusk,First of the Sun,NA,Cosmere
571,Eva Winters,The Rithmatist,Earth (Rithmatist),NA,Independent
572,Evenstrom Tekiel,Mistborn Era 2,Scadrial,NA,Cosmere
573,Eventeo,Elantris,Sel,NA,Cosmere
574,Eventire,The Rithmatist,Earth (Rithmatist),NA,Independent
575,Evi Kholin,The Stormlight Archive,Roshar,NA,Cosmere
576,Evinor,The Stormlight Archive,Roshar,NA,Cosmere
577,Evod Markmaker,The Stormlight Archive,Roshar,NA,Cosmere
578,Exel,Firefight,Earth (Reckoners),Reckoners,Independent
579,Extes,The Stormlight Archive,Roshar,NA,Cosmere
580,Exton L. Pratt,The Rithmatist,Earth (Rithmatist),NA,Independent
581,Eylita Tavinar,The Stormlight Archive,Roshar,NA,Cosmere
582,Fabergé,The Reckoners,Earth (Reckoners),NA,Independent
583,Fabrisan,The Stormlight Archive,Roshar,NA,Cosmere
584,Fafen,Warbreaker,Nalthis,NA,Cosmere
585,Falilar,The Stormlight Archive,Roshar,NA,Cosmere
586,Falksi,The Stormlight Archive,Roshar,NA,Cosmere
587,Fari,The Stormlight Archive,Roshar,Skybreaker,Cosmere
588,Faridai,The Stormlight Archive,Roshar,NA,Cosmere
589,Father Bin,Mistborn Era 2,Scadrial,NA,Cosmere
590,Fathom (Epic),The Reckoners,Earth (Reckoners),NA,Independent
591,Fatren,Mistborn Era 1,Scadrial,NA,Cosmere
592,Faultline,The Reckoners,Earth (Reckoners),NA,Independent
593,User:Fbstj/t:char,Entity,Unknown,NA,Independent
594,Febin,The Stormlight Archive,Roshar,Dalinar's elites,Cosmere
595,Febrth,The Stormlight Archive,Roshar,Diagram,Cosmere
596,Fed,Mistborn Era 2,Scadrial,Set,Cosmere
597,Fedik,Mistborn Era 1,Scadrial,NA,Cosmere
598,Fedre,Mistborn Era 1,Scadrial,NA,Cosmere
599,Fedren Aime,Mistborn Era 1,Scadrial,NA,Cosmere
600,Feldeu,Mistborn Era 1,Scadrial,NA,Cosmere
601,Felise Demoux,Mistborn Era 2,Scadrial,NA,Cosmere
602,Fellette Renoux,Entity,Scadrial,NA,Cosmere
603,Felt,"Mistborn Era 1,The Stormlight Archive",Scadrial,NA,Cosmere
604,Fen Rnamdi,The Stormlight Archive,Roshar,NA,Cosmere
605,Feotora,Dark One,Mirandus,NA,Independent
606,Feral,The Reckoners,Earth (Reckoners),NA,Independent
607,Ferson Penrod,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
608,FhorKood,Mistborn Era 1,Scadrial,NA,Cosmere
609,Fia,The Stormlight Archive,Roshar,Diagram,Cosmere
610,Fialia,Mistborn Era 2,Scadrial,NA,Cosmere
611,Fiksin,The Stormlight Archive,Roshar,NA,Cosmere
612,Fimkn,The Stormlight Archive,Roshar,NA,Cosmere
613,Fin,The Stormlight Archive,Roshar,NA,Cosmere
614,Fine,Skyward (series),Detritus,NA,Cytoverse
615,Finis,Skyward (series),ReDawn,NA,Cytoverse
616,Finn Elstin,Skyward (series),Detritus,NA,Cytoverse
617,Fion,Mistborn Era 2,Scadrial,Set,Cosmere
618,First of the Sky,Sixth of the Dusk,First of the Sun,NA,Cosmere
619,Fisk,The Stormlight Archive,Roshar,Cobalt Guard,Cosmere
620,Fitch,The Rithmatist,Earth (Rithmatist),NA,Independent
621,Fitzroy,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),Dark Oculators,Independent
622,Fjon,Elantris,Sel,NA,Cosmere
623,Fladm,The Stormlight Archive,Roshar,NA,Cosmere
624,Flatik,Dark One,Mirandus,NA,Independent
625,Flavine,Mistborn Era 1,Scadrial,NA,Cosmere
626,Fleet,The Stormlight Archive,Roshar,NA,Cosmere
627,Fleeta,The Stormlight Archive,Roshar,NA,Cosmere
628,Flen,Mistborn Era 1,Scadrial,NA,Cosmere
629,Flend,The Stormlight Archive,Roshar,NA,Cosmere
630,Flip,Legion,Earth (Legion),Aspect,Independent
631,Flog,Mistborn Era 2,Scadrial,NA,Cosmere
632,Florence,The Rithmatist,Earth (Rithmatist),NA,Independent
633,Florin Malin,Mistborn Era 2,Scadrial,NA,Cosmere
634,Fob,Warbreaker,Nalthis,NA,Cosmere
635,Foil,The Stormlight Archive,,NA,Cosmere
636,Folsom Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
637,Forch,Mistborn Era 2,Scadrial,NA,Cosmere
638,Forgeron,Mistborn Era 2,Scadrial,NA,Cosmere
639,Forton,Elantris,Sel,NA,Cosmere
640,Fortuity,The Reckoners,Earth (Reckoners),NA,Independent
641,Fran,Warbreaker,Nalthis,NA,Cosmere
642,Franis,Mistborn Era 2,Scadrial,Set,Cosmere
643,Franson,Mistborn Era 1,Scadrial,NA,Cosmere
644,Frava,The Emperor's Soul,Sel,Heritage Faction,Cosmere
645,Frederique Gorski,The Original,Earth (The Original),ICON,Independent
646,Freudland,The Rithmatist,Earth (Rithmatist),NA,Independent
647,Freyja Marten,Skyward,Detritus,NA,Cytoverse
648,Fronks Vif,Mistborn Era 2,Scadrial,NA,Cosmere
649,Frost,The Stormlight Archive,Yolen,"Seventeenth Shard,[1]",Cosmere
650,Fuego,The Reckoners,Earth (Reckoners),NA,Independent
651,Fyld,White Sand,Taldain,NA,Cosmere
652,Gabrathin,The Stormlight Archive,Roshar,NA,Cosmere
653,Gabria,Mistborn Era 2,Scadrial,Set,Cosmere
654,Gadol,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
655,Gagaril,Warbreaker,Nalthis,NA,Cosmere
656,Galabris Menthon,Mistborn Era 2,Scadrial,NA,Cosmere
657,Galan,The Stormlight Archive,Roshar,Amaram's army,Cosmere
658,Galbrometh,Perfect State,Alornia,NA,"Wode,States"
659,Galid,The Stormlight Archive,Roshar,NA,Cosmere
660,Galivan,Mistborn Era 1,Scadrial,NA,Cosmere
661,Galladon,"Elantris,The Stormlight Archive",Sel,Seventeenth Shard,Cosmere
662,Gallam,The Stormlight Archive,Roshar,NA,Cosmere
663,Gallant,The Stormlight Archive,Roshar,NA,Cosmere
664,Gallingskaw,Mistborn Era 1,Scadrial,NA,Cosmere
665,Gangnah,The Stormlight Archive,Roshar,Council of Five,Cosmere
666,Ganlos Riera,The Stormlight Archive,Roshar,NA,Cosmere
667,Gaotona,The Emperor's Soul,Sel,Heritage Faction,Cosmere
668,Gare,The Stormlight Archive,Roshar,Amaram's army,Cosmere
669,Garisel Daring,Mistborn Era 2,Scadrial,NA,Cosmere
670,Garv,Mistborn Era 1,Scadrial,NA,Cosmere
671,Gashash-son-Navammis,The Stormlight Archive,Roshar,NA,Cosmere
672,Gatrii,Elantris,Sel,NA,Cosmere
673,Gavam,The Stormlight Archive,Roshar,NA,Cosmere
674,Gavarah,The Stormlight Archive,Roshar,NA,Cosmere
675,Gavashaw,The Stormlight Archive,Roshar,NA,Cosmere
676,Gave Entrone,Mistborn Era 2,Scadrial,Set,Cosmere
677,Gavilar Kholin,The Stormlight Archive,Roshar,Sons of Honor,Cosmere
678,Gavinor Kholin,The Stormlight Archive,Roshar,NA,Cosmere
679,Gavri,The Stormlight Archive,Roshar,NA,Cosmere
680,Gaz,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[3],Sadeas army",Cosmere
681,Gemdwyn,Mistborn Era 2,Scadrial,NA,Cosmere
682,Gemmel,Mistborn Era 1,Scadrial,NA,Cosmere
683,Gen,The Stormlight Archive,Roshar,Kholin army,Cosmere
684,Gendren,Warbreaker,Nalthis,NA,Cosmere
685,Genedere,Mistborn Era 1,Scadrial,NA,Cosmere
686,General Khal,The Stormlight Archive,Roshar,Kholin army,Cosmere
687,Gennel,White Sand,Taldain,"Taishin,The Field",Cosmere
688,Geoff Hamilton,The Rithmatist,Earth (Rithmatist),NA,Independent
689,George,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
690,Geormin,Mistborn Era 2,Scadrial,NA,Cosmere
691,Gerald Taffington,The Rithmatist,Earth (Rithmatist),NA,Independent
692,Geranid,The Stormlight Archive,Roshar,NA,Cosmere
693,Gereh,The Stormlight Archive,Roshar,NA,Cosmere
694,Gereh's Aviar,The Stormlight Archive,Roshar,NA,Cosmere
695,Gerrig,Skyward (series),Detritus,DDF,Cytoverse
696,Getruda,Mistborn Era 2,Scadrial,Set,Cosmere
697,Getrue,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
698,Gevalden,White Sand,Taldain,Taishin,Cosmere
699,Geved,The Stormlight Archive,Roshar,NA,Cosmere
700,Gevelmar,The Stormlight Archive,Roshar,NA,Cosmere
701,Ghenna,The Stormlight Archive,Roshar,NA,Cosmere
702,Gibsey,Skyward (series),,NA,Cytoverse
703,Gift,The Stormlight Archive,Roshar,NA,Cosmere
704,Giftbeacon,Warbreaker,Nalthis,NA,Cosmere
705,Gilaf,Skyward (series),ReDawn,NA,Cytoverse
706,Gill,Skyward (series),Detritus,NA,Cytoverse
707,Gina Gutierrez,Snapshot,Earth (Snapshot),NA,Independent
708,Gitgeth,The Stormlight Archive,Roshar,NA,Cosmere
709,Glen,Legion,Earth (Legion),NA,Independent
710,Glimmer,The Reckoners,Earth (Reckoners),NA,Independent
711,Glurv,The Stormlight Archive,Roshar,NA,Cosmere
712,Glys,The Stormlight Archive,Roshar,NA,Cosmere
713,Gnash the Slaughterer,Skyward,,NA,Cytoverse
714,Gneorndin Cett,Mistborn Era 1,Scadrial,Venture army,Cosmere
715,Godeke,The Stormlight Archive,Roshar,"Knights Radiant,Edgedancers",Cosmere
716,Gol,The Stormlight Archive,Roshar,Amaram's army,Cosmere
717,Golombi,The Stormlight Archive,Roshar,NA,Cosmere
718,Gom,The Stormlight Archive,Roshar,NA,Cosmere
719,Gor,The Stormlight Archive,Roshar,Amaram's army,Cosmere
720,Goradel,Mistborn Era 1,Scadrial,Venture army,Cosmere
721,Gord,Mistborn Era 2,Scadrial,NA,Cosmere
722,Gorglen,Mistborn Era 2,Scadrial,NA,Cosmere
723,Goro,Skyward (series),Evershore,NA,Cytoverse
724,Goshel,The Stormlight Archive,Roshar,NA,Cosmere
725,Gosovic,Dark One,Mirandus,NA,Independent
726,Grable,Warbreaker,Nalthis,NA,Cosmere
727,Graeo,Elantris,Sel,NA,Cosmere
728,Granite Joe,Mistborn Era 2,Scadrial,NA,Cosmere
729,Granks,Mistborn Era 2,Scadrial,Set,Cosmere
730,Graves,The Stormlight Archive,Roshar,Diagram,Cosmere
731,Graviton,The Reckoners,Earth (Reckoners),NA,Independent
732,Greg,Snapshot,Earth (Snapshot),NA,Independent
733,Gregorh,The Stormlight Archive,Roshar,NA,Cosmere
734,Gregory III,The Rithmatist,Earth (Rithmatist),NA,Independent
735,Gregr,Mistborn Era 2,Scadrial,NA,Cosmere
736,Grelin,White Sand,Taldain,The Guild,Cosmere
737,Gremm,Skyward (series),,NA,Cytoverse
738,Gremt,White Sand,Taldain,The Tower,Cosmere
739,Grent,Mistborn Era 1,Scadrial,,Cosmere
740,Grondkest,Elantris,Sel,NA,Cosmere
741,Grund,The Stormlight Archive,Roshar,NA,Cosmere
742,Gu,The Stormlight Archive,Roshar,NA,Cosmere
743,Gub,The Stormlight Archive,Roshar,NA,Cosmere
744,Guff,The Stormlight Archive,Roshar,NA,Cosmere
745,Guillian,Mistborn Era 2,Scadrial,NA,Cosmere
746,Gul'zah,Skyward (series),,NA,Cytoverse
747,Gulastis,The Stormlight Archive,Roshar,NA,Cosmere
748,Guntua,Skyward (series),,NA,Cytoverse
749,Guvlow,The Stormlight Archive,Roshar,NA,Cosmere
750,Guyn,Arcanum Unbounded,Unknown,NA,Cosmere
751,Gvori,The Stormlight Archive,Roshar,NA,Cosmere
752,Gward,Skyward (series),,NA,Cytoverse
753,Gyro,The Reckoners,Earth (Reckoners),NA,Independent
754,Hab,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
755,Habatab,The Stormlight Archive,Roshar,NA,Cosmere
756,Haberstock,The Rithmatist,Earth (Rithmatist),NA,Independent
757,Habrin,The Stormlight Archive,Roshar,Amaram's army,Cosmere
758,Habsant,The Stormlight Archive,Roshar,Devotary of Insight,Cosmere
759,Haddek,Mistborn Era 1,Scadrial,NA,Cosmere
760,Hadinar,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
761,Hadren Renoux,Entity,Scadrial,NA,Cosmere
762,Hal Davis,Snapshot,Earth (Snapshot),NA,Independent
763,Halad,The Stormlight Archive,Roshar,NA,Cosmere
764,Halam Khal,The Stormlight Archive,Roshar,Kholin army,Cosmere
765,Halan,Warbreaker,Nalthis,NA,Cosmere
766,Halbeth,Skyward (series),Detritus,NA,Cytoverse
767,Hallaw,The Stormlight Archive,Roshar,NA,Cosmere
768,Hamadin,The Stormlight Archive,Roshar,NA,Cosmere
769,Hamaradin,The Stormlight Archive,Roshar,NA,Cosmere
770,Hamel,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
771,Hammie,The Stormlight Archive,Roshar,NA,Cosmere
772,Hammond,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
773,Han ShuXen,The Emperor's Soul,Sel,NA,Cosmere
774,Hana,Skyward (series),Evershore,NA,Cytoverse
775,Hanavanar,The Stormlight Archive,Roshar,NA,Cosmere
776,Handerwym,Mistborn Era 2,Scadrial,NA,Cosmere
777,Hanlanaze,Mistborn Era 2,Scadrial,NA,Cosmere
778,Haona,Elantris,Sel,NA,Cosmere
779,Happy,Skyward (series),Detritus,NA,Cytoverse
780,Harathdal,Mistborn Era 1,Scadrial,NA,Cosmere
781,Harding,The Rithmatist,Earth (Rithmatist),NA,Independent
782,Hardren,Mistborn Era 1,Scadrial,NA,Cosmere
783,Harel,The Stormlight Archive,Roshar,NA,Cosmere
784,Hariel,The Stormlight Archive,Roshar,NA,Cosmere
785,Harkaylain,The Stormlight Archive,Roshar,NA,Cosmere
786,Harl,The Stormlight Archive,Roshar,Amaram's army,Cosmere
787,Harmon,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
788,Harold,Shadows for Silence,Threnody,NA,Cosmere
789,HARRE,Heuristic Algorithm and Reasoning Response Engine,,NA,Independent
790,Harris,The Rithmatist,Earth (Rithmatist),NA,Independent
791,Harrisel Hard,Mistborn Era 2,Scadrial,NA,Cosmere
792,Harrison,Legion,Earth (Legion),Aspect,Independent
793,Harth,The Stormlight Archive,Roshar,NA,Cosmere
794,Harvo,The Stormlight Archive,Roshar,NA,Cosmere
795,Hasavah,The Stormlight Archive,Roshar,NA,Cosmere
796,Hashal,The Stormlight Archive,Roshar,Sadeas army,Cosmere
797,Hasheh,The Stormlight Archive,Roshar,NA,Cosmere
798,Hatch,The Rithmatist,Earth (Rithmatist),NA,Independent
799,Hatham,The Stormlight Archive,Roshar,NA,Cosmere
800,Hathan,The Stormlight Archive,Roshar,NA,Cosmere
801,Hauka,The Stormlight Archive,Roshar,NA,Cosmere
802,Hav,The Stormlight Archive,Roshar,Amaram's army,Cosmere
803,Havakal,Skyward (series),ReDawn,NA,Cytoverse
804,Havar,The Stormlight Archive,Roshar,Kholin army,Cosmere
805,Havarah,The Stormlight Archive,Roshar,Kholin army,Cosmere
806,Havarseth,Warbreaker,Nalthis,NA,Cosmere
807,Havrom,The Stormlight Archive,Roshar,Kholin army,Cosmere
808,Hawin,The Stormlight Archive,Roshar,NA,Cosmere
809,Hawkham,Firefight,Earth (Reckoners),NA,Independent
810,Haws,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
811,Heb,The Stormlight Archive,Roshar,NA,Cosmere
812,Heberen,Mistborn Era 1,Scadrial,NA,Cosmere
813,Heelis,White Sand,Taldain,"Taishin,The Hall",Cosmere
814,Heimline,Skyward (series),Detritus,NA,Cytoverse
815,Helaran Davar,The Stormlight Archive,Roshar,Order of Skybreakers,Cosmere
816,Helenntion,Mistborn Era 1,Scadrial,NA,Cosmere
817,Helium,Calamity,Earth (Reckoners),NA,Independent
818,Helt,The Stormlight Archive,Roshar,NA,Cosmere
819,Hem,The Stormlight Archive,Roshar,NA,Cosmere
820,Hema-Dak,The Stormlight Archive,Roshar,NA,Cosmere
821,Hennin,White Sand,Taldain,"Taishin,The Guild",Cosmere
822,Herman Libel,The Rithmatist,Earth (Rithmatist),NA,Independent
823,Hershel Black,The Reckoners,Earth (Reckoners),Reckoners,Independent
824,Herve,Mistborn Era 2,Scadrial,NA,Cosmere
825,Hesh,The Stormlight Archive,Roshar,NA,Cosmere
826,Hesho,Skyward (series),Evershore,Flowers of Night's Last Kiss Flight,Cytoverse
827,Hesina,The Stormlight Archive,Roshar,NA,Cosmere
828,Hessi,The Stormlight Archive,Roshar,NA,Cosmere
829,Hettel,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
830,Hextilda McTavish,The Rithmatist,Earth (Rithmatist),NA,Independent
831,Hid,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
832,High Emperor,Firstborn,,NA,Independent
833,Hilde,Mistborn Era 1,Scadrial,NA,Cosmere
834,Himalaya Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
835,Hinston Ladrian,Mistborn Era 2,Scadrial,NA,Cosmere
836,Hmalka,The Stormlight Archive,Roshar,NA,Cosmere
837,Hnanan,The Stormlight Archive,Roshar,NA,Cosmere
838,Hobart,Mistborn Era 1,Scadrial,NA,Cosmere
839,Hobber,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
840,Hoid,"The Stormlight Archive,Elantris,The Emperor's Soul,Mistborn,Warbreaker,White Sand",Yolen,Worldsingers,Cosmere
841,Holly Martinez,Snapshot,Earth (Snapshot),NA,Independent
842,Holly Winseed (Original),The Original,Earth (The Original),NA,Independent
